1 > src/solve.c:301
1 = src/malloc.c:363
2 = src/malloc.c:418
4 = src/malloc.c:195
2 = src/malloc.c:423
3 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:371
2 = src/malloc.c:436
4 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:448
1 = src/malloc.c:372
2 = src/malloc.c:469
2 = src/malloc.c:474
3 = src/malloc.c:190
2 = src/malloc.c:475
2 = src/malloc.c:495
3 = src/malloc.c:190
1 = src/malloc.c:382
4 = src/malloc.c:190
3 = src/malloc.c:190
1 = src/malloc.c:383
3 = src/malloc.c:190
3 = src/malloc.c:190
1 = src/malloc.c:384
1 = src/malloc.c:388
2 = src/malloc.c:502
2 = src/malloc.c:505
4 = src/malloc.c:190
3 = src/malloc.c:290
4 = src/malloc.c:190
1 = src/malloc.c:399
4 = src/malloc.c:190
3 = src/malloc.c:291
2 = src/malloc.c:506
2 = src/malloc.c:538
3 = src/malloc.c:337
4 = src/malloc.c:190
3 = src/malloc.c:352
4 = src/malloc.c:190
1 = src/malloc.c:410
1 = src/malloc.c:418
3 = src/malloc.c:363
2 = src/malloc.c:542
4 = src/malloc.c:290
1 = src/malloc.c:423
2 = src/malloc.c:546
3 = src/malloc.c:371
4 = src/malloc.c:291
2 = src/malloc.c:550
1 = src/malloc.c:436
4 = src/malloc.c:337
3 = src/malloc.c:372
2 = src/malloc.c:551
1 = src/malloc.c:448
2 = src/fo.c:54
3 = src/malloc.c:382
4 = src/malloc.c:352
2 = src/fo.c:55
4 = src/malloc.c:363
2 = src/fo.c:55
3 = src/malloc.c:383
3 = src/malloc.c:384
2 = src/fo.c:55
2 = src/fo.c:55
1 = src/malloc.c:469
3 = src/malloc.c:388
3 = src/malloc.c:399
1 = src/malloc.c:474
3 = src/malloc.c:410
4 = src/malloc.c:371
1 = src/malloc.c:475
1 = src/malloc.c:495
1 = src/malloc.c:502
4 = src/malloc.c:372
3 = src/malloc.c:418
3 = src/malloc.c:423
3 = src/malloc.c:436
2 = src/fo.c:55
3 = src/malloc.c:448
2 = src/fo.c:55
4 = src/malloc.c:382
2 = src/fo.c:55
1 = src/malloc.c:505
1 = src/malloc.c:506
2 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
1 = src/malloc.c:538
3 = src/malloc.c:469
4 = src/malloc.c:383
2 = src/fo.c:55
3 = src/malloc.c:474
4 = src/malloc.c:384
1 = src/malloc.c:542
4 = src/malloc.c:388
3 = src/malloc.c:475
3 = src/malloc.c:495
1 = src/malloc.c:546
3 = src/malloc.c:502
3 = src/malloc.c:505
3 = src/malloc.c:506
2 = src/fo.c:55
3 = src/malloc.c:538
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/malloc.c:399
1 = src/malloc.c:550
2 = src/fo.c:55
4 = src/malloc.c:410
4 = src/malloc.c:418
3 = src/malloc.c:542
4 = src/malloc.c:423
2 = src/fo.c:55
3 = src/malloc.c:546
4 = src/malloc.c:436
1 = src/malloc.c:551
3 = src/malloc.c:550
1 = src/fo.c:54
4 = src/malloc.c:448
2 = src/fo.c:55
3 = src/malloc.c:551
3 = src/fo.c:54
1 = src/fo.c:55
2 = src/fo.c:55
4 = src/malloc.c:469
4 = src/malloc.c:474
1 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
4 = src/malloc.c:475
3 = src/fo.c:55
3 = src/fo.c:55
4 = src/malloc.c:495
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/malloc.c:502
1 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
4 = src/malloc.c:505
1 = src/fo.c:55
4 = src/malloc.c:506
3 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
4 = src/malloc.c:538
1 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/malloc.c:542
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
4 = src/malloc.c:546
1 = src/fo.c:55
1 = src/fo.c:55
4 = src/malloc.c:550
4 = src/malloc.c:551
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:54
4 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
1 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/fo.c:55
4 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
1 = src/fo.c:55
3 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
3 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
2 = src/fo.c:55
4 = src/solve.c:865
1 = src/solve.c:865
4 = src/fo.c:25
1 = src/fo.c:25
2 = src/solve.c:865
2 = src/fo.c:25
4 = src/fo.c:572
2 = src/fo.c:572
4 = src/fo.c:573
3 = src/solve.c:865
1 = src/fo.c:572
3 = src/fo.c:25
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:572
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
2 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
1 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
1 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
3 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
2 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
3 = src/fo.c:573
2 = src/fo.c:573
4 = src/fo.c:573
4 = src/fo.c:573
